,GAME_ID,home_TEAM_NAME,away_TEAM_NAME,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
0,20500001,Philadelphia 76ers,Milwaukee Bucks,1500,1500,1488.358071966229,1511.641928033771
1,20500003,Phoenix Suns,Dallas Mavericks,1500,1500,1493.3134682093066,1506.6865317906934
2,20500002,San Antonio Spurs,Denver Nuggets,1500,1500,1508.8528344320187,1491.1471655679813
3,20500025,New Orleans/Oklahoma City Hornets,Sacramento Kings,1500,1500,1515.8525200732743,1484.1474799267257
4,20500012,Chicago Bulls,Charlotte Bobcats,1500,1500,1505.0846181745605,1494.9153818254395
5,20500004,Toronto Raptors,Washington Wizards,1500,1500,1493.3134682093066,1506.6865317906934
6,20500009,Detroit Pistons,Philadelphia 76ers,1500,1488.358071966229,1512.528457972683,1475.829613993546
7,20500008,New Jersey Nets,Milwaukee Bucks,1500,1511.641928033771,1485.1721637122298,1526.469764321541
8,20500014,Utah Jazz,Dallas Mavericks,1500,1506.6865317906934,1509.1060658018432,1497.5804659888502
9,20500013,Houston Rockets,Sacramento Kings,1500,1484.1474799267257,1507.3100404142176,1476.8374395125081
10,20500010,Memphis Grizzlies,Miami Heat,1500,1500,1481.0931987830443,1518.9068012169557
11,20500011,Minnesota Timberwolves,Portland Trail Blazers,1500,1500,1505.0846181745605,1494.9153818254395
12,20500007,Boston Celtics,New York Knicks,1500,1500,1510.3404407520968,1489.6595592479032
13,20500017,Golden State Warriors,Atlanta Hawks,1500,1500,1515.4136800031224,1484.5863199968776
14,20500006,Cleveland Cavaliers,New Orleans/Oklahoma City Hornets,1500,1515.8525200732743,1515.0431152954682,1500.809404777806
15,20500016,Denver Nuggets,Los Angeles Lakers,1491.1471655679813,1500,1485.52688276651,1505.6202828014714
16,20500015,Seattle SuperSonics,Los Angeles Clippers,1500,1500,1489.1408942719136,1510.8591057280864
17,20500005,Orlando Magic,Indiana Pacers,1500,1500,1486.0827662781592,1513.9172337218408
18,20500019,Los Angeles Lakers,Phoenix Suns,1505.6202828014714,1493.3134682093066,1492.7307015784563,1506.2030494323217
19,20500018,Miami Heat,Indiana Pacers,1518.9068012169557,1513.9172337218408,1512.1161832535083,1520.7078516852882
20,20500020,Toronto Raptors,New Jersey Nets,1493.3134682093066,1485.1721637122298,1480.5860631424189,1497.8995687791175
21,20500023,Boston Celtics,Detroit Pistons,1510.3404407520968,1512.528457972683,1505.5391146252252,1517.3297840995547
22,20500027,Denver Nuggets,Portland Trail Blazers,1485.52688276651,1494.9153818254395,1507.7056138222997,1472.7366507696497
23,20500028,Los Angeles Clippers,Atlanta Hawks,1510.8591057280864,1484.5863199968776,1520.5174902896329,1474.9279354353312
24,20500030,Seattle SuperSonics,Minnesota Timberwolves,1489.1408942719136,1505.0846181745605,1495.1890248260297,1499.0364876204444
25,20500022,Orlando Magic,Memphis Grizzlies,1486.0827662781592,1481.0931987830443,1474.2596136917432,1492.9163513694602
26,20500029,Golden State Warriors,Utah Jazz,1515.4136800031224,1509.1060658018432,1505.9830384152801,1518.5367073896855
27,20500024,New York Knicks,Washington Wizards,1489.6595592479032,1506.6865317906934,1477.1831258913858,1519.1629651472108
28,20500026,San Antonio Spurs,Cleveland Cavaliers,1508.8528344320187,1515.0431152954682,1525.1248977840698,1498.771051943417
29,20500021,Philadelphia 76ers,Charlotte Bobcats,1475.829613993546,1494.9153818254395,1459.3438881073214,1511.401107711664
30,20500032,New Jersey Nets,Chicago Bulls,1497.8995687791175,1505.0846181745605,1501.249098315335,1501.735088638343
31,20500042,Los Angeles Clippers,Minnesota Timberwolves,1520.5174902896329,1499.0364876204444,1523.4790597412753,1496.074918168802
32,20500034,Detroit Pistons,Toronto Raptors,1517.3297840995547,1480.5860631424189,1533.3772832977845,1464.538563944189
33,20500040,Utah Jazz,Phoenix Suns,1518.5367073896855,1506.2030494323217,1506.4456472137156,1518.2941096082916
34,20500037,Milwaukee Bucks,Miami Heat,1526.469764321541,1512.1161832535083,1531.789375767484,1506.7965718075654
35,20500035,Indiana Pacers,Philadelphia 76ers,1520.7078516852882,1459.3438881073214,1513.8046501230547,1466.247089669555
36,20500033,Charlotte Bobcats,Boston Celtics,1511.401107711664,1505.5391146252252,1515.1899002445468,1501.7503220923425
37,20500036,Memphis Grizzlies,Cleveland Cavaliers,1492.9163513694602,1498.771051943417,1499.8492105985754,1491.8381927143018
38,20500039,Dallas Mavericks,San Antonio Spurs,1497.5804659888502,1525.1248977840698,1511.8250622070996,1510.8803015658204
39,20500038,Houston Rockets,New Orleans/Oklahoma City Hornets,1507.3100404142176,1500.809404777806,1497.043967147052,1511.0754780449718
40,20500031,Washington Wizards,Orlando Magic,1519.1629651472108,1474.2596136917432,1525.152788446113,1468.269790392841
41,20500041,Portland Trail Blazers,Atlanta Hawks,1472.7366507696497,1474.9279354353312,1476.0165283801923,1471.6480578247886
42,20500045,Los Angeles Lakers,Denver Nuggets,1492.7307015784563,1507.7056138222997,1506.7522007394273,1493.6841146613287
43,20500043,New York Knicks,Golden State Warriors,1477.1831258913858,1505.9830384152801,1471.9160250923512,1511.2501392143147
44,20500044,Phoenix Suns,Sacramento Kings,1518.2941096082916,1476.8374395125081,1512.8275048377475,1482.3040442830522
45,20500046,Toronto Raptors,Cleveland Cavaliers,1464.538563944189,1491.8381927143018,1451.7908068019285,1504.5859498565624
46,20500049,Minnesota Timberwolves,Los Angeles Clippers,1496.074918168802,1523.4790597412753,1508.199979451847,1511.3539984582303
47,20500050,Chicago Bulls,San Antonio Spurs,1501.735088638343,1510.8803015658204,1490.4235071492465,1522.191883054917
48,20500047,Charlotte Bobcats,Utah Jazz,1515.1899002445468,1506.4456472137156,1507.4191500972836,1514.2163973609788
49,20500048,Miami Heat,New Jersey Nets,1506.7965718075654,1501.249098315335,1509.9702142656806,1498.0754558572198
50,20500053,Memphis Grizzlies,Seattle SuperSonics,1499.8492105985754,1495.1890248260297,1514.9599458863884,1480.0782895382167
51,20500054,Houston Rockets,Orlando Magic,1497.043967147052,1468.269790392841,1490.7420636634906,1474.5716938764024
52,20500051,Atlanta Hawks,Los Angeles Lakers,1471.6480578247886,1506.7522007394273,1463.3950791526304,1515.0051794115855
53,20500052,Milwaukee Bucks,Golden State Warriors,1531.789375767484,1511.2501392143147,1521.079294550665,1521.9602204311336
