home_TEAM_NAME,GAME_ID,GAME_DATE,home_MIN,home_FGM,home_FGA,home_FG_PCT,home_FG3M,home_FG3A,home_FG3_PCT,home_FTM,home_FTA,home_FT_PCT,home_OREB,home_DREB,home_REB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_PTS,home_PLUS_MINUS,away_TEAM_NAME,away_MIN,away_FGM,away_FGA,away_FG_PCT,away_FG3M,away_FG3A,away_FG3_PCT,away_FTM,away_FTA,away_FT_PCT,away_OREB,away_DREB,away_REB,away_AST,away_STL,away_BLK,away_TOV,away_PF,away_PTS,away_PLUS_MINUS,Season
Cleveland Cavaliers,21200001,2012-10-30,240,36,79,0.456,7,20,0.35,15,22,0.682,18,36,54,22,7,5,21,21,94,10,Washington Wizards,240,32,90,0.356,8,32,0.25,12,20,0.6,18,21,39,26,11,10,13,19,84,-10,2012 - 2013
Los Angeles Lakers,21200003,2012-10-30,240,38,77,0.494,3,13,0.231,12,31,0.387,15,31,46,24,6,5,14,21,91,-8,Dallas Mavericks,240,40,85,0.471,5,15,0.333,14,18,0.778,9,31,40,22,9,5,12,25,99,8,2012 - 2013
Miami Heat,21200002,2012-10-30,240,43,79,0.544,8,16,0.5,26,32,0.813,5,31,36,25,8,5,8,20,120,13,Boston Celtics,240,39,75,0.52,6,13,0.462,23,28,0.821,7,34,41,24,4,2,16,23,107,-13,2012 - 2013
New Orleans Hornets,21200008,2012-10-31,240,35,80,0.438,4,17,0.235,21,23,0.913,9,34,43,26,7,6,15,20,95,-4,San Antonio Spurs,240,38,80,0.475,6,20,0.3,17,26,0.654,10,33,43,22,9,8,16,21,99,4,2012 - 2013
Phoenix Suns,21200010,2012-10-31,240,32,80,0.4,4,21,0.19,17,22,0.773,11,33,44,16,10,12,18,23,85,-2,Golden State Warriors,240,33,86,0.384,5,17,0.294,16,23,0.696,17,32,49,19,9,3,18,20,87,2,2012 - 2013
Detroit Pistons,21200006,2012-10-31,240,35,79,0.443,6,16,0.375,20,26,0.769,10,26,36,21,12,4,16,15,96,-9,Houston Rockets,240,39,79,0.494,10,27,0.37,17,23,0.739,12,33,45,28,12,3,20,24,105,9,2012 - 2013
Los Angeles Clippers,21200011,2012-10-31,240,38,74,0.514,5,15,0.333,20,29,0.69,8,31,39,25,12,9,22,27,101,9,Memphis Grizzlies,240,33,86,0.384,2,14,0.143,24,30,0.8,17,27,44,24,14,4,21,25,92,-9,2012 - 2013
Philadelphia 76ers,21200005,2012-10-31,240,30,85,0.353,7,25,0.28,17,21,0.81,14,33,47,18,13,11,16,14,84,9,Denver Nuggets,240,33,88,0.375,4,18,0.222,5,11,0.455,16,38,54,19,9,5,22,22,75,-9,2012 - 2013
Chicago Bulls,21200007,2012-10-31,240,33,79,0.418,2,9,0.222,25,33,0.758,14,32,46,21,8,10,18,19,93,6,Sacramento Kings,240,34,84,0.405,6,17,0.353,13,16,0.813,11,29,40,14,10,5,21,29,87,-6,2012 - 2013
Utah Jazz,21200009,2012-10-31,240,38,89,0.427,6,14,0.429,31,42,0.738,20,41,61,24,10,8,14,25,113,19,Dallas Mavericks,240,32,85,0.376,11,22,0.5,19,26,0.731,8,32,40,20,8,5,16,32,94,-19,2012 - 2013
Portland Trail Blazers,21200012,2012-10-31,240,42,83,0.506,9,20,0.45,23,28,0.821,10,20,30,19,10,5,12,20,116,10,Los Angeles Lakers,240,36,72,0.5,8,18,0.444,26,32,0.813,15,30,45,21,6,2,25,29,106,-10,2012 - 2013
Toronto Raptors,21200004,2012-10-31,240,33,91,0.363,6,17,0.353,16,19,0.842,15,27,42,18,12,8,10,18,88,-2,Indiana Pacers,240,37,78,0.474,5,11,0.455,11,16,0.688,9,37,46,22,3,10,19,16,90,2,2012 - 2013
San Antonio Spurs,21200014,2012-11-01,240,35,79,0.443,5,19,0.263,11,16,0.688,6,33,39,27,9,4,13,21,86,2,Oklahoma City Thunder,240,29,77,0.377,7,17,0.412,19,23,0.826,12,36,48,18,6,5,18,20,84,-2,2012 - 2013
New York Knicks,21200020,2012-11-02,240,36,84,0.429,19,36,0.528,13,15,0.867,13,28,41,27,10,0,14,22,104,20,Miami Heat,240,33,71,0.465,7,20,0.35,11,13,0.846,7,34,41,18,4,5,21,18,84,-20,2012 - 2013
Charlotte Bobcats,21200015,2012-11-02,240,31,85,0.365,7,19,0.368,21,24,0.875,10,31,41,18,10,9,11,22,90,1,Indiana Pacers,240,33,83,0.398,7,26,0.269,16,27,0.593,14,38,52,19,5,5,19,16,89,-1,2012 - 2013
Orlando Magic,21200016,2012-11-02,240,42,86,0.488,5,15,0.333,13,18,0.722,11,35,46,24,8,8,13,24,102,13,Denver Nuggets,240,32,84,0.381,7,26,0.269,18,27,0.667,15,30,45,22,5,5,14,17,89,-13,2012 - 2013
Golden State Warriors,21200026,2012-11-02,240,36,80,0.45,10,20,0.5,12,17,0.706,9,27,36,21,5,5,19,24,94,-10,Memphis Grizzlies,240,35,77,0.455,6,13,0.462,28,34,0.824,9,31,40,22,9,4,14,22,104,10,2012 - 2013
Oklahoma City Thunder,21200022,2012-11-02,240,39,76,0.513,5,9,0.556,23,32,0.719,8,39,47,18,2,10,12,22,106,14,Portland Trail Blazers,240,32,89,0.36,9,26,0.346,19,24,0.792,11,33,44,17,4,0,12,25,92,-14,2012 - 2013
Phoenix Suns,21200024,2012-11-02,240,40,92,0.435,2,11,0.182,10,14,0.714,15,37,52,15,6,5,14,20,92,3,Detroit Pistons,240,37,90,0.411,4,13,0.308,11,19,0.579,10,29,39,20,2,5,10,19,89,-3,2012 - 2013
Los Angeles Lakers,21200025,2012-11-02,240,34,68,0.5,7,16,0.438,20,28,0.714,7,31,38,15,7,7,20,23,95,-10,Los Angeles Clippers,240,38,84,0.452,8,22,0.364,21,27,0.778,9,28,37,24,12,4,12,26,105,10,2012 - 2013
Boston Celtics,21200017,2012-11-02,240,33,74,0.446,5,14,0.357,17,21,0.81,6,30,36,22,9,4,18,18,88,-11,Milwaukee Bucks,240,40,86,0.465,8,18,0.444,11,12,0.917,11,35,46,26,12,5,19,17,99,11,2012 - 2013
Atlanta Hawks,21200018,2012-11-02,240,40,85,0.471,7,22,0.318,15,17,0.882,7,29,36,23,12,4,13,26,102,-7,Houston Rockets,240,38,90,0.422,8,30,0.267,25,29,0.862,23,35,58,22,8,2,21,18,109,7,2012 - 2013
New Orleans Hornets,21200021,2012-11-02,240,37,81,0.457,5,14,0.357,9,14,0.643,12,30,42,23,7,4,12,16,88,2,Utah Jazz,240,35,85,0.412,10,28,0.357,6,12,0.5,16,28,44,19,7,6,15,21,86,-2,2012 - 2013
Cleveland Cavaliers,21200019,2012-11-02,240,32,79,0.405,8,20,0.4,14,27,0.519,11,22,33,23,7,1,17,25,86,-29,Chicago Bulls,240,44,69,0.638,4,10,0.4,23,30,0.767,5,36,41,34,7,4,17,21,115,29,2012 - 2013
Minnesota Timberwolves,21200023,2012-11-02,240,32,87,0.368,2,17,0.118,26,36,0.722,17,36,53,17,4,10,11,17,92,12,Sacramento Kings,240,32,89,0.36,3,16,0.188,13,16,0.813,11,32,43,17,7,4,12,34,80,-12,2012 - 2013
Dallas Mavericks,21200034,2012-11-03,240,49,80,0.613,16,25,0.64,12,15,0.8,8,35,43,31,6,7,22,23,126,27,Charlotte Bobcats,240,39,91,0.429,3,17,0.176,18,24,0.75,15,23,38,19,13,2,12,14,99,-27,2012 - 2013
