home_TEAM_NAME,GAME_ID,GAME_DATE,home_MIN,home_FGM,home_FGA,home_FG_PCT,home_FG3M,home_FG3A,home_FG3_PCT,home_FTM,home_FTA,home_FT_PCT,home_OREB,home_DREB,home_REB,home_AST,home_STL,home_BLK,home_TOV,home_PF,home_PTS,home_PLUS_MINUS,away_TEAM_NAME,away_MIN,away_FGM,away_FGA,away_FG_PCT,away_FG3M,away_FG3A,away_FG3_PCT,away_FTM,away_FTA,away_FT_PCT,away_OREB,away_DREB,away_REB,away_AST,away_STL,away_BLK,away_TOV,away_PF,away_PTS,away_PLUS_MINUS,Season
Los Angeles Lakers,21400003,2014-10-28,240,28,79,0.354,3,10,0.3,31,39,0.795,11,25,36,16,7,3,13,32,90,-18,Houston Rockets,240,31,73,0.425,12,29,0.414,34,50,0.68,14,33,47,22,7,3,14,30,108,18,2014 - 2015
San Antonio Spurs,21400002,2014-10-28,240,37,70,0.529,14,28,0.5,13,16,0.813,9,29,38,23,5,3,21,20,101,1,Dallas Mavericks,240,38,78,0.487,8,21,0.381,16,19,0.842,9,24,33,17,9,3,10,20,100,-1,2014 - 2015
New Orleans Pelicans,21400001,2014-10-28,240,41,101,0.406,4,17,0.235,15,31,0.484,26,36,62,20,10,17,9,17,101,17,Orlando Magic,240,32,84,0.381,4,11,0.364,16,21,0.762,16,40,56,17,5,9,18,25,84,-17,2014 - 2015
Charlotte Hornets,21400004,2014-10-29,265,41,101,0.406,6,21,0.286,20,29,0.69,15,35,50,27,8,9,13,20,108,2,Milwaukee Bucks,265,39,80,0.488,7,14,0.5,21,24,0.875,3,32,35,25,9,10,15,25,106,-2,2014 - 2015
Memphis Grizzlies,21400009,2014-10-29,240,43,82,0.524,4,15,0.267,15,20,0.75,10,23,33,21,10,5,17,21,105,4,Minnesota Timberwolves,240,39,86,0.453,6,12,0.5,17,23,0.739,19,28,47,20,8,4,23,21,101,-4,2014 - 2015
Miami Heat,21400007,2014-10-29,240,39,81,0.481,9,28,0.321,20,23,0.87,12,32,44,20,9,3,14,17,107,12,Washington Wizards,240,36,75,0.48,6,19,0.316,17,24,0.708,7,29,36,20,7,2,14,20,95,-12,2014 - 2015
Utah Jazz,21400012,2014-10-29,240,38,81,0.469,3,18,0.167,14,17,0.824,13,21,34,16,8,6,14,16,93,-11,Houston Rockets,240,40,77,0.519,14,27,0.519,10,14,0.714,8,27,35,18,7,6,18,23,104,11,2014 - 2015
Denver Nuggets,21400011,2014-10-29,240,30,85,0.353,6,24,0.25,23,31,0.742,14,37,51,17,7,4,15,21,89,10,Detroit Pistons,240,31,84,0.369,6,26,0.231,11,19,0.579,8,37,45,15,4,5,16,27,79,-10,2014 - 2015
Boston Celtics,21400006,2014-10-29,240,49,88,0.557,8,22,0.364,15,23,0.652,9,26,35,28,11,5,13,25,121,16,Brooklyn Nets,240,39,80,0.488,7,19,0.368,20,26,0.769,9,30,39,20,6,7,21,21,105,-16,2014 - 2015
Portland Trail Blazers,21400015,2014-10-29,240,39,87,0.448,11,29,0.379,17,22,0.773,13,29,42,23,4,9,10,19,106,17,Oklahoma City Thunder,240,33,81,0.407,2,16,0.125,21,26,0.808,14,29,43,19,9,5,15,28,89,-17,2014 - 2015
Toronto Raptors,21400008,2014-10-29,240,37,90,0.411,8,26,0.308,27,33,0.818,16,32,48,26,13,9,10,22,109,7,Atlanta Hawks,240,40,80,0.5,13,22,0.591,9,17,0.529,10,32,42,26,6,8,19,24,102,-7,2014 - 2015
Phoenix Suns,21400013,2014-10-29,240,45,82,0.549,16,32,0.5,13,18,0.722,9,31,40,23,5,3,14,25,119,20,Los Angeles Lakers,240,37,86,0.43,4,13,0.308,21,25,0.84,12,26,38,20,9,3,15,18,99,-20,2014 - 2015
Sacramento Kings,21400014,2014-10-29,240,24,78,0.308,3,18,0.167,26,35,0.743,15,35,50,13,11,3,27,26,77,-18,Golden State Warriors,240,33,75,0.44,6,27,0.222,23,32,0.719,7,37,44,21,12,8,22,32,95,18,2014 - 2015
New York Knicks,21400010,2014-10-29,240,31,85,0.365,3,17,0.176,15,17,0.882,14,24,38,19,9,5,12,22,80,-24,Chicago Bulls,240,36,71,0.507,7,24,0.292,25,30,0.833,10,37,47,21,9,4,15,18,104,24,2014 - 2015
Indiana Pacers,21400005,2014-10-29,240,38,81,0.469,8,25,0.32,19,28,0.679,14,36,50,22,5,13,18,24,103,12,Philadelphia 76ers,240,34,89,0.382,6,21,0.286,17,30,0.567,15,27,42,17,10,5,11,29,91,-12,2014 - 2015
Los Angeles Clippers,21400020,2014-10-30,240,34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,12,27,93,3,Oklahoma City Thunder,240,28,65,0.431,6,21,0.286,28,34,0.824,8,39,47,23,5,2,27,27,90,-3,2014 - 2015
Dallas Mavericks,21400019,2014-10-30,240,47,85,0.553,8,21,0.381,18,23,0.783,13,31,44,25,8,5,9,15,120,18,Utah Jazz,240,36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,102,-18,2014 - 2015
Cleveland Cavaliers,21400018,2014-10-30,240,32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,90,-5,New York Knicks,240,37,69,0.536,6,12,0.5,15,18,0.833,9,26,35,30,9,1,18,26,95,5,2014 - 2015
Minnesota Timberwolves,21400017,2014-10-30,240,37,76,0.487,4,10,0.4,19,28,0.679,10,33,43,18,8,3,12,21,97,6,Detroit Pistons,240,38,91,0.418,7,21,0.333,8,13,0.615,14,32,46,20,3,5,12,24,91,-6,2014 - 2015
Orlando Magic,21400016,2014-10-30,240,37,72,0.514,6,15,0.4,18,24,0.75,3,30,33,20,4,1,18,23,98,-7,Washington Wizards,240,39,80,0.488,7,13,0.538,20,26,0.769,6,31,37,22,10,0,12,25,105,7,2014 - 2015
Los Angeles Lakers,21400026,2014-10-31,240,42,82,0.512,7,20,0.35,20,28,0.714,9,31,40,24,5,2,14,35,111,-7,Los Angeles Clippers,240,34,71,0.479,12,33,0.364,38,44,0.864,6,30,36,25,6,2,15,26,118,7,2014 - 2015
Indiana Pacers,21400021,2014-10-31,240,34,74,0.459,8,21,0.381,13,16,0.813,11,35,46,19,5,3,18,15,89,-8,Memphis Grizzlies,240,35,79,0.443,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,97,8,2014 - 2015
Milwaukee Bucks,21400023,2014-10-31,240,36,88,0.409,9,24,0.375,12,21,0.571,15,40,55,25,10,11,21,19,93,12,Philadelphia 76ers,240,32,86,0.372,5,23,0.217,12,22,0.545,12,30,42,20,9,5,18,18,81,-12,2014 - 2015
Phoenix Suns,21400024,2014-10-31,240,35,87,0.402,2,18,0.111,22,26,0.846,12,38,50,15,2,5,7,21,94,5,San Antonio Spurs,240,32,78,0.41,8,25,0.32,17,23,0.739,5,40,45,20,3,3,13,25,89,-5,2014 - 2015
Sacramento Kings,21400025,2014-10-31,240,34,81,0.42,4,10,0.4,31,35,0.886,14,35,49,14,6,2,10,24,103,9,Portland Trail Blazers,240,34,83,0.41,9,26,0.346,17,19,0.895,10,28,38,20,5,8,11,26,94,-9,2014 - 2015
Chicago Bulls,21400022,2014-10-31,265,41,90,0.456,13,31,0.419,13,17,0.765,11,31,42,25,4,14,20,28,108,-6,Cleveland Cavaliers,265,41,104,0.394,3,15,0.2,29,33,0.879,20,32,52,18,8,4,12,18,114,6,2014 - 2015
Oklahoma City Thunder,21400036,2014-11-01,240,37,80,0.463,6,20,0.3,22,31,0.71,6,35,41,24,8,6,14,20,102,11,Denver Nuggets,240,35,80,0.438,7,26,0.269,14,20,0.7,11,30,41,19,4,10,18,26,91,-11,2014 - 2015
Houston Rockets,21400034,2014-11-01,240,32,76,0.421,12,34,0.353,28,40,0.7,10,39,49,20,9,8,19,24,104,14,Boston Celtics,240,37,98,0.378,1,25,0.04,15,18,0.833,14,30,44,20,10,8,11,26,90,-14,2014 - 2015
New Orleans Pelicans,21400027,2014-11-01,240,38,89,0.427,7,19,0.368,21,28,0.75,14,33,47,24,8,4,13,19,104,-5,Dallas Mavericks,240,46,89,0.517,6,25,0.24,11,19,0.579,11,33,44,25,4,6,12,25,109,5,2014 - 2015
Philadelphia 76ers,21400030,2014-11-01,240,35,67,0.522,7,23,0.304,19,26,0.731,4,33,37,28,9,10,25,21,96,-18,Miami Heat,240,41,83,0.494,12,24,0.5,20,29,0.69,9,26,35,33,16,0,16,20,114,18,2014 - 2015
Charlotte Hornets,21400028,2014-11-01,240,26,72,0.361,4,14,0.286,13,18,0.722,5,39,44,17,10,4,20,16,69,-2,Memphis Grizzlies,240,29,80,0.363,3,11,0.273,10,13,0.769,9,36,45,16,8,0,19,22,71,2,2014 - 2015
Atlanta Hawks,21400032,2014-11-01,240,35,69,0.507,7,20,0.35,25,33,0.758,3,34,37,26,10,6,13,20,102,10,Indiana Pacers,240,31,81,0.383,12,32,0.375,18,21,0.857,11,33,44,25,5,5,18,26,92,-10,2014 - 2015
Detroit Pistons,21400033,2014-11-01,240,32,76,0.421,1,17,0.059,25,35,0.714,10,31,41,21,3,3,7,15,90,-12,Brooklyn Nets,240,42,87,0.483,7,26,0.269,11,13,0.846,12,36,48,18,3,3,8,23,102,12,2014 - 2015
Utah Jazz,21400037,2014-11-01,240,42,88,0.477,7,26,0.269,27,33,0.818,13,39,52,19,10,6,14,15,118,27,Phoenix Suns,240,36,87,0.414,7,31,0.226,12,15,0.8,6,28,34,17,8,7,13,22,91,-27,2014 - 2015
Washington Wizards,21400031,2014-11-01,240,40,73,0.548,4,13,0.308,24,33,0.727,6,28,34,28,18,5,19,21,108,11,Milwaukee Bucks,240,34,80,0.425,9,22,0.409,20,24,0.833,16,26,42,18,11,3,28,28,97,-11,2014 - 2015
